Entity Name,Entity ID,Security Name,Security ID,Does the company meet your screening criteria?,ESG Risk Score
ACWA Power Management & Investments One Ltd.,1419928305,,1419928305,Yes,36.89
ADAMA Ltd.,1013523541,,1013523541,Yes,35.85
Adams Outdoor Advertising 2018-1,2006755959,,2006755959,Yes,19.92
Adani Electricity Mumbai Ltd.,2006659435,,2006659435,Yes,25.33
Adani Energy Solutions Ltd.,1291208258,,1291208258,Yes,31.49
Adani Enterprises Ltd.,1008761259,,1008761259,Yes,34.26
Adani Green Energy (UP) Ltd.,2005479877,,2005479877,Yes,14.44
Adani Green Energy Ltd.,2004567447,,2004567447,Yes,14.44
Adani Ports & Special Economic Zone Ltd.,1035552255,,1035552255,Yes,12.66
Adani Power Ltd.,1045171689,,1045171689,Yes,36.57
Adani Renewable Energy (RJ) Ltd.,2007318994,,2007318994,Yes,14.44
Adani Total Gas Ltd.,2002841946,,2002841946,Yes,23.89
Adani Wilmar Ltd.,2000806463,,2000806463,Yes,33.05
AdaptHealth Corp.,2007416128,,2007416128,Yes,32.76
Adaptive Biotechnologies Corp.,2003947041,,2003947041,Yes,18.93
"Adastria Co., Ltd.",1013524549,,1013524549,Yes,19.68
"ADATA Technology Co., Ltd.",1016482667,,1016482667,Yes,38.22
ADBRI Ltd.,1008753661,,1008753661,Yes,35.90
Adcock Ingram Holdings Ltd.,1008757918,,1008757918,Yes,31.77
"ADDCN Technology Co., Ltd.",1223983906,,1223983906,Yes,23.77
AddLife AB,1327921004,,1327921004,Yes,15.34
Addnode Group AB,1008905766,,1008905766,Yes,26.73
"Addsino Co., Ltd.",1020591780,,1020591780,Yes,23.69
Addtech AB,1009249520,,1009249520,Yes,21.23
Addus HomeCare Corp.,1008986441,,1008986441,Yes,18.50
Adecco Group AG,1008267464,,1008267464,Yes,9.08
Adecco International Financial Services BV,1035076959,,1035076959,Yes,9.08
Adecoagro SA,1126179074,,1126179074,Yes,28.76
"Adeia, Inc.",2012806268,,2012806268,Yes,30.28
Adeka Corp.,1016659606,,1016659606,Yes,26.61
"ADENTRA, Inc.",1017325488,,1017325488,Yes,28.55
adesso SE,1045380552,,1045380552,Yes,21.46
Adevinta ASA,2006880038,,2006880038,Yes,21.90
ADIB Capital Invest 2 Ltd.,2006344648,,2006344648,Yes,29.64
ADIB Capital Invest 3 Ltd.,2014595391,,2014595391,Yes,29.64
"Adicet Bio, Inc.",2008182109,,2008182109,Yes,26.61
adidas AG,1007971062,,1007971062,Yes,14.47
Adient plc,1340034188,,1340034188,Yes,15.97
Adimmune Corp.,1041231224,,1041231224,Yes,29.84
Aditya Birla Capital Ltd.,2002691150,,2002691150,Yes,12.40
Aditya Birla Fashion & Retail Ltd.,1045176011,,1045176011,Yes,13.32
ADLER Group SA,1264961898,,1264961898,Yes,22.82
"Adlink Technology, Inc.",1016038490,,1016038490,Yes,20.82
"ADMA Biologics, Inc.",1058997492,,1058997492,Yes,32.12
Admie Holdings (IPTO) SA,2005259031,,2005259031,Yes,31.80
Admiral Group Plc,1008606799,,1008606799,Yes,24.19
ADNOC Drilling Co. PJSC,2006550731,,2006550731,Yes,22.04
ADNOC Logistics & Services Plc,2007804263,,2007804263,N/A,No data
"Adobe, Inc.",1007902567,,1007902567,Yes,14.49
Adolf Würth GmbH & Co. KG,1008733748,,1008733748,Yes,26.05
Adriatic Metals Plc,2005922159,,2005922159,N/A,No data
ADS-TEC Energy Plc,2009129749,,2009129749,Yes,24.67
"ADT, Inc.",2005180880,,2005180880,Yes,22.29
"Adtalem Global Education, Inc.",1007905782,,1007905782,Yes,11.35
"AdTheorent Holding Co., Inc.",2009114146,,2009114146,Yes,25.81
"ADTRAN Holdings, Inc.",2009134239,,2009134239,Yes,18.99
Adtran Networks SE,1008033295,,1008033295,Yes,11.14
"ADVAN GROUP CO., LTD",1008752008,,1008752008,Yes,26.77
"Advance Auto Parts, Inc.",1007902579,,1007902579,Yes,11.52
Advance Logistics Investment Corp.,2006370130,,2006370130,Yes,14.61
Advance Residence Investment Corp.,1032405168,,1032405168,Yes,14.41
Advanced Ceramic X Corp.,1028210932,,1028210932,Yes,17.39
"Advanced Drainage Systems, Inc.",1007902601,,1007902601,Yes,26.74
"Advanced Energy Industries, Inc.",1008221842,,1008221842,Yes,17.83
"Advanced Energy Solution Holding Co., Ltd.",2008646366,,2008646366,Yes,25.34
Advanced Enzyme Technologies Ltd.,1035727178,,1035727178,Yes,34.01
Advanced Fiber Resources Zhuhai Ltd.,2005137295,,2005137295,N/A,No data
"Advanced Info Service Public Co., Ltd.",1008287570,,1008287570,Yes,21.61
Advanced International Multitech Co. Ltd.,1017735847,,1017735847,Yes,11.51
Advanced Medical Solutions Group Plc,1008760072,,1008760072,Yes,13.22
"Advanced Micro Devices, Inc.",1008047110,,1008047110,Yes,15.00
"Advanced Micro Fabrication Equipment, Inc. China",2000895432,,2000895432,Yes,24.39
"Advanced Nano Products Co., Ltd.",2001256894,,2001256894,Yes,36.59
